,en,es,de,pl,it,pt,fr
KEY_WIB_START,Start Vibration,Iniciar vibración,Vibration starten,Rozpocznij wibracje,Inizia la vibrazione,Comece a vibração,Démarrer les vibrations
KEY_WIB_STOP,Stop Vibration,Detener la vibración,Vibrationsstopp,Zatrzymaj wibracje,Fermare le vibrazioni,Pare a vibração,Arrêter les vibrations
KEY_START,START!,¡COMIENZO!,START!,START!,INIZIO!,COME?AR!,D?BUT!
KEY_ACH_YOU,Your Achievements,Sus logros,Deine Erfolge,Twoje Osiągniecia,I tuoi obiettivi,Suas conquistas,Vos réalisations
KEY_ACH_BACK,Back To Game,Volver al juego,Zurück zum Spiel,Wróć do gry,Ritorno al gioco,De volta ao jogo,Retour au jeu
KEY_ACH,Achievements,Logros,Erfolge,Osiagniecia,realizzazioni,Conquistas,Réalisations
KEY_DLCS,Show list of installed DLCs,Mostrar lista de DLC instalados,Liste der installierten DLCs anzeigen,Pokaż listę zainstalowanych dodatków,Mostra l'elenco dei DLC installati,Mostrar lista de DLCs instalados,Afficher la liste des DLC installés
KEY_REPORT_BUG,Report a bug,Reportar un error,Melde einen technischen Fehler,Zgłoś problem,Segnalare un bug,Reportar um erro,Signaler un bug
KEY_THEME,Theme,Tema,Thema,Motyw,Tema,Tema,Thème
KEY_Yellow,Yellow,Amarillo,Gelb,Żółty,Giallo,Amarelo,Jaune
KEY_Grey,Grey,Gris,Grau,Szary,Grigio,Cinzento,Gris
KEY_Red,Red,Rojo,rot,Czerwony,Rosso,Vermelho,Rouge
KEY_Green,Green,Verde,Grün,Zielony,Verde,Verde,Vert
KEY_Blue,Blue,Azul,Blau,Niebieski,Blu,Azul,Bleu
KEY_Default,Modern,Moderno,Modern,Nowoczesny,Moderno,Moderno,Moderne
KEY_Old,Old,Antiguo,Alt,Stary,Vecchio,Velho,Vieux
KEY_UI_THEME,Select Interface Theme,Seleccione el tema de la interfaz,Wählen Sie Interface Theme,Wybierz motyw interfejsu,Seleziona il tema dell'interfaccia,Selecione o tema da interface,Sélectionnez le thème d'interface
KEY_Neon,Neon,Neón,Neon,Neon,Neon,Néon,Néon
KEY_Alien,Alien,Extraterrestre,Ausländer,Obcy,Alieno,Estrangeiro,Extraterrestre
KEY_Light,Light,Brillante,Hell,Jasny,Luminoso,Brilhante,Brillant
KEY_Solarized_dark,Solarized Dark,Oscuridad solarizada,Solarized Dark,Solaryzowany Ciemny,Solarized Dark,Escuro Solarizado,Dark Solarized
KEY_Solarized_light,Solarized Light,Luz solarizada,Solarisiertes Licht,Solaryzowany Jasny,Solarized Bright,Brilhante Solarizado,Lumineux Solarisé
KEY_FULL_HEALTH,Full Health,Salud completa,Volle Gesundheit,Pełne Zdrowie,Piena salute,Saúde Máxima,Pleine santé
KEY_Continue,Continue,Continuar,Fortsetzen,Kontynuuj,Continua,Continuar,Continuer
KEY_Licenses,Licenses,Licencias,Lizenzen,Licencje,Licenze,Licenças,Les licences
KEY_AUTOSAVE_NOT,"This game uses the autosave function. This function is not containing DLCs - Only base game (for now)
The files are saved on the disk and the removal
of one of them may result in a loss of
The game's state

Do not turn off the game,
While this icon is visible","Este juego utiliza la función de guardado automático. Esta función no contiene DLC: solo juego base (por ahora)
Los archivos se guardan en el disco y la
eliminación de uno de ellos puede
Provocar la pérdida del estado del juego.


No apague el juego cuando este icono est? visible","Dieses Spiel verwendet die automatische Speicherfunktion. Diese Funktion enthält keine DLCs - Nur Basisspiel (vorerst)
Die Dateien werden auf der Festplatte gespeichert.
Wenn Sie eine davon entfernen, kann der Status des Spiels verloren gehen.


Schalten Sie das Spiel nicht aus,
wenn dieses Symbol sichtbar ist","Ta gra używa funkcji autozapisu. Ta funkcja nie dotyczy DLC – tylko gra podstawowa jest zapisywana
Pliki zapisywane są na dysku i
usunięcie chociaż jednego z nich może zaskutkować
Utratą zapisu stanu gry


Nie wyłączaj gry,
Gdy ta ikona jest widoczna","Questo gioco utilizza la funzione di salvataggio automatico. Questa funzione non contiene DLC - Solo gioco base (per ora)
I file vengono salvati sul disco e la rimozione
di uno di essi può comportare la
perdita dello stato del gioco


Non spegnere il gioco
Uando questa icona ? visibile","Este jogo usa a função de salvamento automático. Esta função não contém DLCs - Somente jogo base (por enquanto)
Os arquivos são salvos no disco e a remoção
de um deles pode resultar na
Perda do estado do jogo


N?o desligue o jogo quando
Este ?cone estiver vis?vel","Ce jeu utilise la fonction de sauvegarde automatique. Cette fonction ne contient pas de DLC - Uniquement un jeu de base (pour l'instant)
Les fichiers sont enregistrés sur le disque et la suppression 
de l'un d'eux peut entraîner une perte de
L'état du jeu


N'éteignez pas le jeu,
Tant que cette icône est visible"
KEY_AP,Awaiting Players�,A la espera de jugadores ...,Spieler erwarten�,Oczekuj�cy Gracze�,In attesa di giocatori ...,Aguardando jogadores ...,Joueurs en attente�
KEY_Host,Host,Anfitri�n,Wirt,Hostuj,Ospite,Hospedeiro,H�te
KEY_Join,Join,Unirse,Beitreten,Do��cz,Aderire,Junte-se,Joindre
KEY_IP_Adress,IP Address,Direcci�n IP,IP Adresse,Adres IP,Indirizzo IP,Endere�o de IP,Adresse IP
KEY_NAME,Name,Nombre,Name,Nazwa,Nome,Nome,pr�nom
KEY_ERR,"Oops�

It seems there was an error. Debug file was created at �user://logs/*.log�.

Pixel Zone will exit now","Vaya �

Parece que hubo un error. El archivo de depuraci�n se cre� en �usuario: //logs/*.log�.

Pixel Zone saldr� ahora","Hoppla�

Es scheint einen Fehler zu geben. Die Debug-Datei wurde unter ""user: //logs/*.log"" erstellt.

Pixel Zone wird jetzt beendet","Ups�

To wygl�da na b��d. Log b��du zosta� utworzony w �user://logs/*.log�

Pixel Zone wy��czy si� teraz","Oops �

Sembra che ci sia stato un errore. Il file di debug ? stato creato su ""utente: //logs/*.log"".

Pixel Zone uscir? ora","Oops �

Parece que houve um erro. O arquivo de depura�?o foi criado em ""user: //logs/*.log"".

A Pixel Zone sair� agora","Oups�

Il semble qu'il y ait eu une erreur. Le fichier de d�bogage a �t� cr�� ? ""user: //logs/*.log"".

Pixel Zone va quitter maintenant"
