,en,es,de,pl,it,pt,fr
KEY_DA,"After the download is complete, restart the game.
If you have a problem starting the game after downloading dlc, see: 
https://karoltomaszewskimu.wixsite.com/mastergames/support","Una vez finalizada la descarga, reinicie el juego.
Si tiene un problema al iniciar el juego después de descargar dlc, consulte:
https://karoltomaszewskimu.wixsite.com/mastergames/support","Nachdem der Download abgeschlossen ist, starte das Spiel neu.
Wenn Sie nach dem Herunterladen von dlc ein Problem beim Starten des Spiels haben, lesen Sie:
https://karoltomaszewskimu.wixsite.com/mastergames/support","Po zakończeniu pobierania uruchom grę ponownie.
Jeśli będziesz problem z uruchomieniem gry po pobraniu dlc, patrz na:
https://karoltomaszewskimu.wixsite.com/mastergames/support","Al termine del download, riavvia il gioco.
Se hai problemi a iniziare il gioco dopo aver scaricato dlc, vedi:
https://karoltomaszewskimu.wixsite.com/mastergames/support","Depois que o download estiver concluído, reinicie o jogo.
Se você tiver um problema ao iniciar o jogo depois de baixar o dlc, consulte:
https://karoltomaszewskimu.wixsite.com/mastergames/support","Une fois le téléchargement terminé, redémarrez le jeu.
Si vous rencontrez des problèmes pour démarrer le jeu après le téléchargement de dlc,
Voir: https://karoltomaszewskimu.wixsite.com/mastergames/support"
KEY_SELECT,Select,Seleccionar,Wählen,Wybierz,Selezionare,Selecione,Sélectionner
KEY_Download,Download,Descargar,Herunterladen,Pobierz,Scaricare,Baixar,Télécharger
KEY_UPDATE,"Loading information about updates…
This tool is in development mode.
Please report any errors to karoltomaszewskimusic@gmail.com","Cargando información sobre actualizaciones…
Esta herramienta está en modo de desarrollo. Por favor, informe de cualquier error a
Karoltomaszewskimusic@gmail.com","Informationen zu Updates werden geladen…
Dieses Tool befindet sich im Entwicklungsmodus.
Bitte melden Sie Fehler an karoltomaszewskimusic@gmail.com","Ładowanie informacji o aktualizacjach...
To narzędzie jest w trybie rozwoju.
Wszelkie błędy prosimy zgłaszać na karoltomaszewskimusic@gmail.com","Caricamento informazioni sugli aggiornamenti…
Questo strumento è in modalità sviluppo. Si prega di segnalare eventuali errori a
Karoltomaszewskimusic@gmail.com","Carregando informações sobre atualizações…
Esta ferramenta está em modo de desenvolvimento.
Por favor relate quaisquer erros para karoltomaszewskimusic@gmail.com","Chargement d'informations sur les mises à jour…
Cet outil est en mode développement.
Veuillez signaler toute erreur à karoltomaszewskimusic@gmail.com"
KEY_Update,Update,Actualizar,Aktualisieren,Aktualizuj,Aggiornare,Atualizar,Mettre à jour
KEY_COINS,Collected Coins,Monedas recogidas,Gesammelte Münzen,Zebrane Monety,Monete raccolte,Moedas Recolhidas,Pièces collectées
KEY_AO,Advanced Options,Opciones avanzadas,Erweiterte Optionen,Opcje Zaawansowane,Opzioni avanzate,Opções avançadas,Options avancées
KEY_LPM,Low Processor Mode,Modo de procesador bajo,Niedriger Prozessormodus,Tryb ‘wolnego’ procesora,Modalità basso processore,Modo Low Processor,Mode processeur bas
KEY_OM,Select Music,Seleccionar musica,Wählen Sie Musik,Wybierz ścieżkę,Seleziona musica,Selecione Música,Sélectionnez la musique
KEY_CT,Select Custom Theme,Seleccionar tema personalizado,Wählen Sie Benutzerdefiniertes Design,Wybierz Własny Motyw,Seleziona tema personalizzato,Selecione um tema personalizado,Sélectionner un thème personnalisé
KEY_Theme_NOT,"Restart game to full
Reload list of detected themes",Reinicia el juego a la lista completa de recarga de temas detectados,"Starten Sie das Spiel neu, um die Liste
Der erkannten Themen vollständig neu zu laden","Uruchom ponownie grę,
Aby odświeżyć listę załadowanych motywów","Riavvia il gioco all'elenco
Di ricariche completo dei temi rilevati","Reinicie o jogo para recarregar
Completamente a lista de temas detectados","Redémarrer le jeu pour recharger
Complètement la liste des thèmes détectés"
KEY_PLAYER_SELECT,"Choose a player
character to accompany
you during this game.
You can change it
after restarting
The game without losing
the saved state of the
game","Elige un personaje
jugador que te
acompañe durante
este juego.
Puedes cambiarlo
después de reiniciar
el juego sin perder
el estado
Guardado del juego","Wählen Sie einen
Spielercharakter, der
Sie während
dieses Spiels begleitet.
Sie können
es nach dem
Neustart des Spiels ändern,
ohne den gespeicherten
Status des Spiels zu verlieren","Wybierz postać,
która będzie Ci to-
warzyszyła pod-
czas tej rozgrywki.
Będziesz mógł
Ją zmienić po
restarcie gry,
bez straty zapisu","Scegli un personaggio
giocatore che ti
accompagni durante
questo gioco.
Puoi cambiarlo
dopo aver riavviato
il gioco senza perdere
lo stato del
gioco salvato","Escolha um personagem
do jogador para
Acompanhá-lo
durante este jogo.
Você pode alterá-lo
após reiniciar o jogo
sem perder o
estado salvo do jogo","Choisissez un personnage de
joueur pour vous accompagner
pendant ce jeu. Vous
pouvez le changer
après avoir redémarré
le jeu sans perdre
l'état de sauvegarde
Du jeu."
KEY_ONLINE_SC,Online Scoreboard (BETA!),Cuadro de indicadores en línea (BETA!),Online-Anzeiger (BETA!),"Tablica wyników
Online (BETA!)",Quadro di valutazione online (BETA!),Placar Online (BETA!),Tableau de bord en ligne (BETA!)
KEY_SIGNIN,Sign In,Registrarse,Einloggen,Zaloguj,Registrati,Assinar em,Se connecter
KEY_SIGNUP,Sign Up,Regístrate,Anmelden,Zarejestruj,Iscriviti,Inscrever-se,S'inscrire
KEY_RESTORE_P,Restore Password,Restaurar contraseña,Passwort wiederherstellen,Przywróć hasło,Ripristina password,Restaurar senha,Restaurer le mot de passe
KEY_REG_P_A,Register your Pixel Zone account,Registre su cuenta de Pixel Zone,Registrieren Sie Ihr Pixel Zone-Konto,Zarejestruj się na swoje konto Pixel Zone,Registra il tuo account Pixel Zone,Registre sua conta na Pixel Zone,Enregistrez votre compte Pixel Zone
KEY_LOG_P_A,Login to your Pixel Zone account,Inicie sesión en su cuenta de Pixel Zone,Melden Sie sich bei Ihrem Pixel Zone-Konto an,Zaloguj się na swoje konto Pixel Zone,Accedi al tuo account Pixel Zone,Entre na sua conta Pixel Zone,Connectez-vous à votre compte Pixel Zone
KEY_PASS_ERR,Incorrect passwords!,Contraseñas incorrectas!,Falsche Passwörter!,Hasła nie pasują,Password errate!,Senhas incorretas!,Mots de passe incorrects!
